id,created_at,subject,body,true_category
TKT-1000,2026-02-04 22:06,Cannot reset my password,I clicked 'Forgot Password' and entered my email but I never receive the reset link. I have checked spam and waited an hour. My account email is the one I used to open this ticket.,Account & Access
TKT-1001,2026-02-06 06:29,Need to change account email address,I changed jobs and need to update the email on my account from my old work address to my personal email. I still have access to the old email to verify.,Account & Access
TKT-1002,2026-01-14 22:04,Unexpected charge after cancellation,"I cancelled my account two weeks ago and received a confirmation email, yet I was still charged this month. Please reverse this charge immediately.",Billing & Payments
TKT-1003,2026-02-18 03:57,Package arrived damaged,The box arrived today but it was clearly damaged in transit — one corner is completely crushed and the item inside is broken. I have taken photos. What is the process for a replacement?,Shipping & Delivery
TKT-1004,2026-03-05 17:53,Login page keeps redirecting to itself,When I try to log in I enter my credentials and the page just refreshes and shows the login form again. I never get into my account. I have cleared cache and cookies.,Technical Support
TKT-1005,2026-02-06 19:18,Multiple accounts merged without permission,It looks like my personal and company accounts were merged. I now see data from both in one dashboard which is a serious privacy issue. Please separate them immediately.,Account & Access
TKT-1006,2026-01-29 14:24,Sync not working between mobile and desktop,My data on the mobile app is not syncing with the desktop version. I added 15 items on my phone today and none of them appear when I log in from my computer.,Technical Support
TKT-1007,2026-03-07 01:35,Cannot update payment method,I am trying to update my credit card but the payment page keeps showing an error: 'Unable to save card'. I have tried three different browsers and it still fails.,Billing & Payments
TKT-1008,2026-01-12 17:56,Auto-renewal turned on without my consent,I did not authorize auto-renewal on my account. I see it was enabled last month and I was charged. I would like a refund and to turn off auto-renewal.,Billing & Payments
TKT-1009,2026-02-21 01:06,Exchange instead of refund not processed,"I asked for an exchange for a different size, not a refund. The agent I chatted with confirmed an exchange. However I received a refund to my original payment and no replacement was sent.",Returns & Refunds
TKT-1010,2026-02-15 21:47,SSO login not working with our identity provider,We configured SAML SSO with our company's Okta instance following your documentation. When users try to log in via SSO they get a generic error page after being redirected back.,Account & Access
TKT-1011,2026-01-15 01:26,Order shipped to wrong country,My order was shipped to Germany but I am in Canada. I double-checked my account and my address shows Canada. This seems like a system error on your end.,Shipping & Delivery
TKT-1012,2026-03-16 12:17,Compatibility with Windows 11,Before purchasing I want to confirm the desktop application is fully compatible with Windows 11. Are there any known issues with the latest Windows update?,Product Information
TKT-1013,2026-01-03 18:51,What file formats can I import?,"I have data in multiple formats: CSV, Excel, and JSON. Can your import feature handle all three? Are there any row or file size limits I should be aware of?",Product Information
TKT-1014,2025-12-24 22:39,Teammate cannot accept invitation,I sent an invitation to a colleague three days ago. She received the email but when she clicks the link it says 'Invitation expired or invalid'. Can you resend or generate a new link?,Account & Access
TKT-1015,2026-02-17 17:27,Invoice shows wrong amount,The invoice I received for last month shows $149 but my plan is $99/month. I have not added any extra services. Please correct this.,Billing & Payments
TKT-1016,2026-01-15 15:54,Refund to wrong card,My original card was cancelled and I got a new one with a different number. The refund was sent to the old cancelled card. How can we redirect it to my current card?,Returns & Refunds
TKT-1017,2025-12-27 04:37,Wrong shipping address used on my order,I noticed after placing the order that the wrong address was used — it went to my old address. The order number is #ORD-44291. Can this still be changed?,Shipping & Delivery
TKT-1018,2026-02-18 01:42,Package not delivered but marked as delivered,My tracking shows the package was delivered yesterday but nothing arrived. My neighbor did not receive it either. Could you help locate it or start a claim?,Shipping & Delivery
TKT-1019,2025-12-28 00:44,Refund not received after 10 days,You approved my refund on the 5th of this month (confirmation #RF-8821) but I have not seen the credit on my statement yet. My bank says no pending credit from you.,Billing & Payments
TKT-1020,2026-02-23 21:17,How do I transfer account ownership?,Our original account owner has left the company. I am the new IT administrator and need to become the account owner. I have the original owner's work email if that helps.,Account & Access
TKT-1021,2026-02-09 21:36,Search returns no results for any query,The search feature has not been returning any results since yesterday afternoon. I searched for terms I know exist in my data and got 0 results every time.,Technical Support
TKT-1022,2026-02-02 04:12,Refund issued for wrong amount,I returned two items totaling $87. The refund posted to my card was $52. I need the remaining $35 refunded as well. My return confirmation is #RET-1190.,Returns & Refunds
TKT-1023,2026-03-18 21:32,Is there an offline mode?,I often work in locations with poor internet connectivity. Is there a way to use the product offline and sync when connectivity is restored?,Product Information
TKT-1024,2026-01-11 02:21,How do I start a return?,I received my order last week but it is not what I expected. I would like to return it. I could not find a return option in my account. What is the process?,Returns & Refunds
TKT-1025,2026-02-18 22:28,Delivery requires signature but I will not be home,My tracking shows a signature is required for delivery but I will be at work. I tried to use the carrier's redirect tool but your shipping does not seem to allow it.,Shipping & Delivery
TKT-1026,2026-01-09 12:18,Received wrong item and need to return it,My order arrived today but the item inside is completely different from what I ordered. I obviously want to return this and get what I actually paid for.,Returns & Refunds
TKT-1027,2026-01-20 21:53,What is the data retention policy?,For compliance reasons I need to understand how long you retain customer data after account deletion and whether we can request full data deletion under GDPR.,Product Information
TKT-1028,2026-01-29 23:40,Coupon code not applied at checkout,I have a valid coupon code SAVE20 but when I enter it at checkout the total does not change. The code is supposed to give 20% off. Please help.,Billing & Payments
TKT-1029,2025-12-30 16:52,Admin role not showing after upgrade,I upgraded my account to the Business plan which should give me admin controls. However my dashboard looks the same as before and I do not see the admin panel.,Account & Access
TKT-1030,2026-02-11 23:27,Partial order received,My order contained three items but only two arrived. The packing slip inside lists all three items. The missing item is the most important one I needed.,Shipping & Delivery
TKT-1031,2025-12-31 02:07,Bank says charge is from unknown merchant,My bank flagged a charge from your company as potentially fraudulent because the merchant name on the statement does not match your company name. Can you provide the exact descriptor?,Billing & Payments
TKT-1032,2026-03-24 18:57,Data export is stuck at 0%,I started a data export 3 hours ago and the progress bar has not moved from 0%. The page just shows 'Preparing export...' I need this data urgently.,Technical Support
TKT-1033,2026-01-12 16:58,Never received shipping confirmation,I placed an order five days ago. It was charged to my card but I never received a shipping confirmation or tracking number. My order status still shows 'Processing'.,Shipping & Delivery
TKT-1034,2026-01-15 20:42,Bulk import fails with no error message,"I am trying to import a CSV file with 5,000 rows. The upload completes but then nothing happens — no error, no confirmation, no imported data. The file is formatted exactly as specified.",Technical Support
TKT-1035,2026-03-13 18:27,Need itemized receipt for expense report,I need a detailed receipt for my purchase from last Tuesday for my company expense report. The amount was $79.00. Could you email me an itemized version?,Billing & Payments
TKT-1036,2026-03-20 14:16,Shipment split into multiple packages unexpectedly,I ordered one product but received a notification that it will be delivered in 4 separate packages. No one explained why. Will there be additional shipping charges?,Shipping & Delivery
TKT-1037,2026-01-08 15:50,Cannot connect to API — getting 401 errors,My API integration stopped working this morning. All requests return HTTP 401 Unauthorized. My API key has not changed and was working fine yesterday.,Technical Support
TKT-1038,2026-01-06 04:31,Tracking number not working,The tracking number you emailed me (1Z999AA10123456784) does not return any results on the carrier's website. I have been checking for two days.,Shipping & Delivery
TKT-1039,2026-02-04 21:19,Webhook not firing on new events,I set up a webhook endpoint last week and it was working. As of Monday it is not receiving any POST requests despite new events occurring. The endpoint is responding correctly to pings.,Technical Support
TKT-1040,2026-02-20 06:46,Can reports be scheduled for automatic delivery?,I want to set up weekly reports to be automatically emailed to our leadership team every Monday morning. Is this a built-in feature or would I need to use the API?,Product Information
TKT-1041,2026-02-07 17:59,Permission settings not saving,I update the permission settings for a team member and click Save. The page confirms the change but when I reload the permissions are back to what they were before.,Account & Access
TKT-1042,2026-01-30 17:13,App crashes on launch after update,"Since the update to version 3.2 yesterday, the app crashes immediately when I open it. I am on iPhone 14 running iOS 17. I have tried reinstalling but the problem persists.",Technical Support
TKT-1043,2026-02-17 10:01,Cannot access account after company domain change,Our company rebranded and changed our email domain. I now cannot log into the account that was tied to my old email address. I need to access historical data there.,Account & Access
TKT-1044,2026-03-19 01:12,Two-factor authentication code not arriving,I enabled 2FA on my account but the verification code is not arriving via SMS. I have waited 15 minutes and tried three times. My phone number is correct in my profile.,Technical Support
TKT-1045,2025-12-27 11:03,Does the API support bulk operations?,I need to update thousands of records at once. Does your API have batch endpoints or would I need to make individual calls for each record? What are the rate limits?,Product Information
TKT-1046,2026-02-15 04:02,Account locked after too many attempts,My account appears to be locked. I tried to log in a few times with what I thought was my password and now I just see 'Account temporarily locked'. How long does this last?,Account & Access
TKT-1047,2026-02-25 04:10,Return label not received,I requested a return 5 days ago and was told a label would be emailed within 24 hours. I still have not received it. My return window closes in 3 days.,Returns & Refunds
TKT-1048,2026-02-08 05:25,PDF export renders tables incorrectly,"When I export reports to PDF, the tables are cut off at the right edge. The same report looks fine on screen. I have tried different paper sizes with the same result.",Technical Support
TKT-1049,2026-02-24 20:09,Does your product support SAML SSO?,"We are evaluating your product for our enterprise. Before we proceed, I need to confirm: does the Business plan support SAML 2.0 SSO with major identity providers like Okta and Azure AD?",Product Information
TKT-1050,2026-03-04 10:17,Estimated delivery keeps changing,"The delivery date for my order has changed three times in the past week — first it was Tuesday, then Friday, now next Wednesday. Can you confirm when it will actually arrive?",Shipping & Delivery
TKT-1051,2026-01-07 10:08,Maximum number of team members on Starter plan,Your pricing page mentions 'up to 5 team members' on the Starter plan. Does that include the account owner or is it 5 additional members on top of the owner?,Product Information
TKT-1052,2026-01-19 05:40,Annual plan price discrepancy,Your website advertises the annual plan at $199/year but I was charged $239. I signed up using the link from your email campaign. Please honor the advertised price.,Billing & Payments
TKT-1053,2026-01-09 10:44,Return window extended promise not honored,A support agent told me via chat (I have the transcript) that my return window would be extended to 60 days due to a delay I experienced. Now the system is rejecting my return saying it is past 30 days.,Returns & Refunds
TKT-1054,2026-03-06 16:33,Item marked as non-returnable but it should not be,The product page said 'Free returns within 30 days' but when I try to initiate a return it says this item is non-returnable. I purchased it 12 days ago.,Returns & Refunds
TKT-1055,2026-01-02 21:40,Charged twice for my subscription,"Hi, I noticed two charges of $29.99 on my credit card for the same month. Could you please refund the duplicate charge? My account email is listed above.",Billing & Payments
